Sample Y
KYSE180_OESOPHAGUS 1.55
MKN74_STOMACH 0.3761
HCC2935_LUNG 2.6857
IM95_STOMACH 2.1284
EN_ENDOMETRIUM 0
GCT_SOFT_TISSUE 0.6055
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.1718
HEC1A_ENDOMETRIUM 0.1217
EFM19_BREAST 0.09867
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.6935
HEC59_ENDOMETRIUM 0.05487
MDAMB453_BREAST 0.1473
OC316_OVARY 0.3731
HEC151_ENDOMETRIUM 2.2608
SNU1_STOMACH 0.3576
NCIH1793_LUNG 0.4024
KALS1_CENTRAL_NERVOUS_SYSTEM 0.3822
ESS1_ENDOMETRIUM 0.6877
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.5452
SW48_LARGE_INTESTINE 2.558
HEC251_ENDOMETRIUM 0.7614
A375_SKIN 0.2889
NCIH1792_LUNG 0.2512
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.01175
TEN_ENDOMETRIUM 0.08303
MFE319_ENDOMETRIUM 1.5436
KMRC2_KIDNEY 0.505
CORL23_LUNG 0.03604
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM 1.7752
NCIH522_LUNG 0.4055
IPC298_SKIN 0.5104
SNGM_ENDOMETRIUM 0.7714
QGP1_PANCREAS 0.7446
HS683_CENTRAL_NERVOUS_SYSTEM 0.07119
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.6185
NCIH650_LUNG 0.04207
KYSE410_OESOPHAGUS 0.4664
C32_SKIN 0.286
HEC265_ENDOMETRIUM 0
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.8905
MFE296_ENDOMETRIUM 0.6176
KYSE510_OESOPHAGUS 0.3023
AN3CA_ENDOMETRIUM 0.3018
COLO205_LARGE_INTESTINE 0.6326
COLO201_LARGE_INTESTINE 0.1882
J82_URINARY_TRACT 0.3626
C2BBE1_LARGE_INTESTINE 1.128
HEC6_ENDOMETRIUM 0.7348
NCIH1568_LUNG 1.6905
KYM1_SOFT_TISSUE 0.2845
CCK81_LARGE_INTESTINE 1.8156
IGROV1_OVARY 1.1493
NCIH1341_LUNG 1.1779
RL952_ENDOMETRIUM 1.5385
NCIH727_LUNG 0.3191
MEWO_SKIN 0.002914
VMRCRCW_KIDNEY 0.194
T84_LARGE_INTESTINE 1.0015
NCIH2286_LUNG 1.2231
NCIH1944_LUNG 0.3705
SQ1_LUNG 0.9531
SNUC2A_LARGE_INTESTINE 0.4618
JHH7_LIVER 0.6282
LS411N_LARGE_INTESTINE 0.3804
DAOY_CENTRAL_NERVOUS_SYSTEM 0.2287
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.3782
SW579_THYROID 0.3561
LS123_LARGE_INTESTINE 0.4793
NCIH2444_LUNG 0.4111
HCC15_LUNG 0.3449
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.1327
NCIH3255_LUNG 4.0635
SKLU1_LUNG 0.5373
SKMEL24_SKIN 0.1272
NCIH2009_LUNG 0.6598
NUGC3_STOMACH 1.82
RPMI7951_SKIN 0.172
OCUM1_STOMACH 0.01577
GMS10_CENTRAL_NERVOUS_SYSTEM 0.1201
CAL27_UPPER_AERODIGESTIVE_TRACT 2.316
RD_SOFT_TISSUE 0.1262
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 1.0643
C3A_LIVER 0.4533
HEPG2_LIVER 0.1433
TT2609C02_THYROID 0.8222
ONS76_CENTRAL_NERVOUS_SYSTEM 0.06366
SW1271_LUNG 0.08464
SKMEL2_SKIN 0.09419
SKNAS_AUTONOMIC_GANGLIA 0.03266
HT1080_SOFT_TISSUE 0.02918
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.7256
HS944T_SKIN 0.3722
NCIH2087_LUNG 0.4709
SKNSH_AUTONOMIC_GANGLIA 0.5904
CHP212_AUTONOMIC_GANGLIA 0.4165
SNU387_LIVER 0.8118
SKMEL30_SKIN 0
TYKNU_OVARY 0.2076
NCIH1299_LUNG 0.7121
HS936T_SKIN 0
NCIH1048_LUNG 0.662
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.8709
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.2421
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.6706
HS852T_SKIN 0.2035
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.7472
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.8033
TE9_OESOPHAGUS 0.9259
UMUC3_URINARY_TRACT 0
NUGC4_STOMACH 2.6443
HEYA8_OVARY 0.2561
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE 0.2757
PANC1005_PANCREAS 0.5347
LOXIMVI_SKIN 0.09979
KYSE450_OESOPHAGUS 1.4667
NCIH1975_LUNG 0.4621
HCT15_LARGE_INTESTINE 0.4596
RKO_LARGE_INTESTINE 0.06025
DV90_LUNG 1.4945
FADU_UPPER_AERODIGESTIVE_TRACT 1.5452
ISTMES2_PLEURA 0.3595
JHUEM2_ENDOMETRIUM 0.1292
U87MG_CENTRAL_NERVOUS_SYSTEM 0.07387
NCIH211_LUNG 0.1121
GAMG_CENTRAL_NERVOUS_SYSTEM 0.1358
SKOV3_OVARY 0.6147
